project_id,instance_id,variant,exit_status,quality_score,grounding_score,completion_score,efficiency_score,progress_score,penalty_score,steps,validation_runs,successful_edit_steps,failed_edit_steps,submitted,planner_phase_enabled,tokens_in,tokens_out,token_total,tokens_per_step,api_calls,relative_cost_estimate,traj,patch,info_log,debug_log,preds,exit_yaml
sqlfluff__sqlfluff,sqlfluff__sqlfluff-2419,big_coder_only,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_coder_only/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_coder_only/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_coder_only/run_batch_exit_statuses.yaml
sqlfluff__sqlfluff,sqlfluff__sqlfluff-2419,big_planner_big_coder,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder/run_batch_exit_statuses.yaml
sqlfluff__sqlfluff,sqlfluff__sqlfluff-2419,big_planner_big_coder_big_reviewer,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder_big_reviewer/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder_big_reviewer/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder_big_reviewer/run_batch_exit_statuses.yaml
sqlfluff__sqlfluff,sqlfluff__sqlfluff-2419,big_planner_big_coder_small_reviewer,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder_small_reviewer/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder_small_reviewer/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder_small_reviewer/run_batch_exit_statuses.yaml
sqlfluff__sqlfluff,sqlfluff__sqlfluff-2419,big_planner_small_coder,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder/run_batch_exit_statuses.yaml
sqlfluff__sqlfluff,sqlfluff__sqlfluff-2419,big_planner_small_coder_big_reviewer,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder_big_reviewer/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder_big_reviewer/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder_big_reviewer/run_batch_exit_statuses.yaml
sqlfluff__sqlfluff,sqlfluff__sqlfluff-2419,big_planner_small_coder_small_reviewer,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder_small_reviewer/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder_small_reviewer/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder_small_reviewer/run_batch_exit_statuses.yaml
sqlfluff__sqlfluff,sqlfluff__sqlfluff-2419,small_coder_only,exit_format,4/10,5/5,2/5,3/5,5,2,10,0,1,0,False,False,20287,1076,21363,2136.3,9,201951.0,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_coder_only/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.traj,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_coder_only/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_coder_only/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.debug.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_coder_only/preds.json,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_coder_only/run_batch_exit_statuses.yaml
sqlfluff__sqlfluff,sqlfluff__sqlfluff-2419,small_planner_big_coder,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_planner_big_coder/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_planner_big_coder/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_planner_big_coder/run_batch_exit_statuses.yaml
sqlfluff__sqlfluff,sqlfluff__sqlfluff-2419,small_planner_big_coder_big_reviewer,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_planner_big_coder_big_reviewer/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_planner_big_coder_big_reviewer/sqlfluff__sqlfluff-2419/sqlfluff__sqlfluff-2419.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_planner_big_coder_big_reviewer/run_batch_exit_statuses.yaml
