preset,project_id,instance_id,variant,exit_status,quality_score,grounding_score,completion_score,efficiency_score,progress_score,penalty_score,steps,validation_runs,successful_edit_steps,failed_edit_steps,submitted,planner_phase_enabled,tokens_in,tokens_out,token_total,tokens_per_step,api_calls,relative_cost_estimate,traj,patch,info_log,debug_log,preds,exit_yaml
gptoss120b_big_qwen35b_small,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_coder_only,skipped (submitted (exit_cost)),1/10,4/5,4/5,0/5,6,5,51,11,2,7,False,False,937575,2707,940282,18436.9,51,113158680.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_coder_only/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_coder_only/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.patch,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_coder_only/run_batch_exit_statuses.yaml
gptoss120b_big_qwen35b_small,pylint-dev__astroid,pylint-dev__astroid-1866,big_coder_only,skipped (submitted),8/10,4/5,3/5,5/5,6,0,5,1,0,0,True,False,10882,299,11181,2236.2,5,1377600.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_coder_only/pylint-dev__astroid-1866/pylint-dev__astroid-1866.traj,,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_coder_only/run_batch_exit_statuses.yaml
gptoss120b_big_qwen35b_small,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_planner_big_coder,skipped (stuck_repetition),3/10,5/5,3/5,0/5,8,5,36,2,5,14,False,True,302123,3270,305393,8483.1,36,37039560.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_big_coder/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_big_coder/run_batch_exit_statuses.yaml
gptoss120b_big_qwen35b_small,pylint-dev__astroid,pylint-dev__astroid-1866,big_planner_big_coder,skipped (stuck_repetition),3/10,5/5,3/5,0/5,8,5,19,2,1,4,False,True,99407,5757,105164,5534.9,19,13310520.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_big_coder/pylint-dev__astroid-1866/pylint-dev__astroid-1866.traj,,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_big_coder/run_batch_exit_statuses.yaml
gptoss120b_big_qwen35b_small,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_planner_big_coder_big_reviewer,skipped (stuck_repetition),4/10,3/5,3/5,0/5,9,5,48,4,15,6,False,True,545829,3930,549759,11453.3,48,66442680.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_big_coder_big_reviewer/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_big_coder_big_reviewer/run_batch_exit_statuses.yaml
gptoss120b_big_qwen35b_small,pylint-dev__astroid,pylint-dev__astroid-1866,big_planner_big_coder_big_reviewer,skipped (submitted),5/10,5/5,5/5,0/5,11,5,42,6,4,8,True,True,509951,4347,514298,12245.2,42,62237400.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_big_coder_big_reviewer/pylint-dev__astroid-1866/pylint-dev__astroid-1866.traj,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_big_coder_big_reviewer/pylint-dev__astroid-1866/pylint-dev__astroid-1866.patch,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_big_coder_big_reviewer/run_batch_exit_statuses.yaml
gptoss120b_big_qwen35b_small,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_planner_small_coder,skipped (submitted),6/10,5/5,5/5,1/5,11,4,19,4,1,1,True,True,77324,1957,79281,4172.7,19,4524970.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.patch,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder/run_batch_exit_statuses.yaml
gptoss120b_big_qwen35b_small,pylint-dev__astroid,pylint-dev__astroid-1866,big_planner_small_coder,skipped (submitted),7/10,5/5,5/5,0/5,11,3,43,8,3,1,True,True,383039,4687,387726,9016.9,43,14539575.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder/pylint-dev__astroid-1866/pylint-dev__astroid-1866.traj,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder/pylint-dev__astroid-1866/pylint-dev__astroid-1866.patch,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder/run_batch_exit_statuses.yaml
gptoss120b_big_qwen35b_small,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_planner_small_coder_big_reviewer,skipped (submitted (exit_format)),5/10,5/5,4/5,0/5,9,4,86,30,1,1,False,True,808980,12863,821843,9556.3,85,60082800.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder_big_reviewer/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder_big_reviewer/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.patch,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder_big_reviewer/run_batch_exit_statuses.yaml
gptoss120b_big_qwen35b_small,pylint-dev__astroid,pylint-dev__astroid-1866,big_planner_small_coder_big_reviewer,skipped (submitted),6/10,5/5,5/5,1/5,11,4,28,9,2,3,True,True,127088,1965,129053,4609.0,28,5649235.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder_big_reviewer/pylint-dev__astroid-1866/pylint-dev__astroid-1866.traj,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder_big_reviewer/pylint-dev__astroid-1866/pylint-dev__astroid-1866.patch,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder_big_reviewer/run_batch_exit_statuses.yaml
