preset,project_id,instance_id,variant,exit_status,quality_score,grounding_score,completion_score,efficiency_score,progress_score,penalty_score,steps,validation_runs,successful_edit_steps,failed_edit_steps,submitted,planner_phase_enabled,tokens_in,tokens_out,token_total,tokens_per_step,api_calls,relative_cost_estimate,traj,patch,info_log,debug_log,preds,exit_yaml
gptoss120b_all,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_coder_only,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_coder_only/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_coder_only/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_coder_only/run_batch_exit_statuses.yaml
gptoss120b_all,pvlib__pvlib-python,pvlib__pvlib-python-1707,big_coder_only,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_coder_only/pvlib__pvlib-python-1707/pvlib__pvlib-python-1707.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_coder_only/pvlib__pvlib-python-1707/pvlib__pvlib-python-1707.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_coder_only/run_batch_exit_statuses.yaml
gptoss120b_all,pvlib__pvlib-python,pvlib__pvlib-python-1854,big_coder_only,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_coder_only/pvlib__pvlib-python-1854/pvlib__pvlib-python-1854.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_coder_only/pvlib__pvlib-python-1854/pvlib__pvlib-python-1854.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_coder_only/run_batch_exit_statuses.yaml
gptoss120b_all,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_planner_big_coder,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder/run_batch_exit_statuses.yaml
gptoss120b_all,pvlib__pvlib-python,pvlib__pvlib-python-1707,big_planner_big_coder,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder/pvlib__pvlib-python-1707/pvlib__pvlib-python-1707.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder/pvlib__pvlib-python-1707/pvlib__pvlib-python-1707.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder/run_batch_exit_statuses.yaml
gptoss120b_all,pvlib__pvlib-python,pvlib__pvlib-python-1854,big_planner_big_coder,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder/pvlib__pvlib-python-1854/pvlib__pvlib-python-1854.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder/pvlib__pvlib-python-1854/pvlib__pvlib-python-1854.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder/run_batch_exit_statuses.yaml
gptoss120b_all,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_planner_big_coder_big_reviewer,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder_big_reviewer/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder_big_reviewer/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder_big_reviewer/run_batch_exit_statuses.yaml
gptoss120b_all,pvlib__pvlib-python,pvlib__pvlib-python-1707,big_planner_big_coder_big_reviewer,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder_big_reviewer/pvlib__pvlib-python-1707/pvlib__pvlib-python-1707.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder_big_reviewer/pvlib__pvlib-python-1707/pvlib__pvlib-python-1707.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder_big_reviewer/run_batch_exit_statuses.yaml
gptoss120b_all,pvlib__pvlib-python,pvlib__pvlib-python-1854,big_planner_big_coder_big_reviewer,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder_big_reviewer/pvlib__pvlib-python-1854/pvlib__pvlib-python-1854.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder_big_reviewer/pvlib__pvlib-python-1854/pvlib__pvlib-python-1854.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder_big_reviewer/run_batch_exit_statuses.yaml
gptoss120b_all,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_planner_big_coder_small_reviewer,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder_small_reviewer/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder_small_reviewer/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/gptoss120b_all/big_planner_big_coder_small_reviewer/run_batch_exit_statuses.yaml
