project_id,instance_id,variant,exit_status,quality_score,grounding_score,completion_score,efficiency_score,progress_score,penalty_score,steps,validation_runs,successful_edit_steps,failed_edit_steps,submitted,planner_phase_enabled,tokens_in,tokens_out,token_total,tokens_per_step,api_calls,relative_cost_estimate,traj,patch,info_log,debug_log,preds,exit_yaml
pyvista__pyvista,pyvista__pyvista-4315,big_coder_only,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_coder_only/pyvista__pyvista-4315/pyvista__pyvista-4315.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_coder_only/pyvista__pyvista-4315/pyvista__pyvista-4315.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_coder_only/run_batch_exit_statuses.yaml
pyvista__pyvista,pyvista__pyvista-4315,big_planner_big_coder,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder/pyvista__pyvista-4315/pyvista__pyvista-4315.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder/pyvista__pyvista-4315/pyvista__pyvista-4315.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder/run_batch_exit_statuses.yaml
pyvista__pyvista,pyvista__pyvista-4315,big_planner_big_coder_big_reviewer,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder_big_reviewer/pyvista__pyvista-4315/pyvista__pyvista-4315.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder_big_reviewer/pyvista__pyvista-4315/pyvista__pyvista-4315.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder_big_reviewer/run_batch_exit_statuses.yaml
pyvista__pyvista,pyvista__pyvista-4315,big_planner_big_coder_small_reviewer,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder_small_reviewer/pyvista__pyvista-4315/pyvista__pyvista-4315.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder_small_reviewer/pyvista__pyvista-4315/pyvista__pyvista-4315.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_big_coder_small_reviewer/run_batch_exit_statuses.yaml
pyvista__pyvista,pyvista__pyvista-4315,big_planner_small_coder,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder/pyvista__pyvista-4315/pyvista__pyvista-4315.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder/pyvista__pyvista-4315/pyvista__pyvista-4315.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder/run_batch_exit_statuses.yaml
pyvista__pyvista,pyvista__pyvista-4315,big_planner_small_coder_big_reviewer,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder_big_reviewer/pyvista__pyvista-4315/pyvista__pyvista-4315.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder_big_reviewer/pyvista__pyvista-4315/pyvista__pyvista-4315.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder_big_reviewer/run_batch_exit_statuses.yaml
pyvista__pyvista,pyvista__pyvista-4315,big_planner_small_coder_small_reviewer,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder_small_reviewer/pyvista__pyvista-4315/pyvista__pyvista-4315.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder_small_reviewer/pyvista__pyvista-4315/pyvista__pyvista-4315.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/big_planner_small_coder_small_reviewer/run_batch_exit_statuses.yaml
pyvista__pyvista,pyvista__pyvista-4315,small_coder_only,exit_format,5/10,5/5,2/5,2/5,5,1,17,0,3,0,False,False,102006,1191,103197,6070.4,16,939492.0,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_coder_only/pyvista__pyvista-4315/pyvista__pyvista-4315.traj,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_coder_only/pyvista__pyvista-4315/pyvista__pyvista-4315.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_coder_only/pyvista__pyvista-4315/pyvista__pyvista-4315.debug.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_coder_only/preds.json,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_coder_only/run_batch_exit_statuses.yaml
pyvista__pyvista,pyvista__pyvista-4315,small_planner_big_coder,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_planner_big_coder/pyvista__pyvista-4315/pyvista__pyvista-4315.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_planner_big_coder/pyvista__pyvista-4315/pyvista__pyvista-4315.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_planner_big_coder/run_batch_exit_statuses.yaml
pyvista__pyvista,pyvista__pyvista-4315,small_planner_big_coder_big_reviewer,Uncaught DockerPullError,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_planner_big_coder_big_reviewer/pyvista__pyvista-4315/pyvista__pyvista-4315.info.log,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_planner_big_coder_big_reviewer/pyvista__pyvista-4315/pyvista__pyvista-4315.debug.log,,/Users/lobs/classes/EECS545_project/SWE-agent/matrix_easy_runs_full_20260309_093524/qwen_local_35b_9b/small_planner_big_coder_big_reviewer/run_batch_exit_statuses.yaml
