preset,project_id,instance_id,variant,exit_status,quality_score,grounding_score,completion_score,efficiency_score,progress_score,penalty_score,steps,validation_runs,successful_edit_steps,failed_edit_steps,submitted,planner_phase_enabled,tokens_in,tokens_out,token_total,tokens_per_step,api_calls,relative_cost_estimate,traj,patch,info_log,debug_log,preds,exit_yaml
gptoss120b_big_qwen35b_small,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_coder_only,skipped (submitted (exit_cost)),1/10,4/5,4/5,0/5,6,5,51,11,2,7,False,False,937575,2707,940282,18436.9,51,113158680.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_coder_only/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_coder_only/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.patch,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_coder_only/run_batch_exit_statuses.yaml
gptoss120b_big_qwen35b_small,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_planner_big_coder,skipped (stuck_repetition),3/10,5/5,3/5,0/5,8,5,36,2,5,14,False,True,302123,3270,305393,8483.1,36,37039560.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_big_coder/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_big_coder/run_batch_exit_statuses.yaml
gptoss120b_big_qwen35b_small,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_planner_big_coder_big_reviewer,skipped (stuck_repetition),4/10,3/5,3/5,0/5,9,5,48,4,15,6,False,True,545829,3930,549759,11453.3,48,66442680.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_big_coder_big_reviewer/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_big_coder_big_reviewer/run_batch_exit_statuses.yaml
gptoss120b_big_qwen35b_small,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_planner_small_coder,skipped (submitted),6/10,5/5,5/5,1/5,11,4,19,4,1,1,True,True,77324,1957,79281,4172.7,19,4524970.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.patch,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder/run_batch_exit_statuses.yaml
gptoss120b_big_qwen35b_small,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_planner_small_coder_big_reviewer,skipped (submitted (exit_format)),5/10,5/5,4/5,0/5,9,4,86,30,1,1,False,True,808980,12863,821843,9556.3,85,60082800.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder_big_reviewer/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder_big_reviewer/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.patch,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/big_planner_small_coder_big_reviewer/run_batch_exit_statuses.yaml
gptoss120b_big_qwen35b_small,pvlib__pvlib-python,pvlib__pvlib-python-1072,small_coder_only,skipped (submitted),6/10,5/5,5/5,2/5,8,3,18,5,2,1,True,False,87299,2167,89466,4970.3,18,3207155.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/small_coder_only/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/small_coder_only/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.patch,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/gptoss120b_big_qwen35b_small/small_coder_only/run_batch_exit_statuses.yaml
qwen_local_35b_9b,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_coder_only,exit_format,0/10,1/5,0/5,4/5,0,1,4,0,0,0,False,False,4343,191,4534,1133.5,3,165375.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/qwen_local_35b_9b/big_coder_only/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/qwen_local_35b_9b/big_coder_only/run_batch_exit_statuses.yaml
qwen_local_35b_9b,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_planner_big_coder,submitted,6/10,5/5,5/5,0/5,11,4,24,4,1,2,True,True,126601,2927,129528,5397.0,24,4635925.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/qwen_local_35b_9b/big_planner_big_coder/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/qwen_local_35b_9b/big_planner_big_coder/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.patch,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/qwen_local_35b_9b/big_planner_big_coder/run_batch_exit_statuses.yaml
qwen_local_35b_9b,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_planner_big_coder_big_reviewer,review_stopped,5/10,5/5,3/5,1/5,9,3,30,8,1,1,False,True,115711,3386,119097,3969.9,30,4286905.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/qwen_local_35b_9b/big_planner_big_coder_big_reviewer/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/qwen_local_35b_9b/big_planner_big_coder_big_reviewer/run_batch_exit_statuses.yaml
qwen_local_35b_9b,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_planner_small_coder,submitted (exit_cost),4/10,5/5,4/5,0/5,9,5,53,4,2,8,False,True,618296,7253,625549,11802.8,53,5782760.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/qwen_local_35b_9b/big_planner_small_coder/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/qwen_local_35b_9b/big_planner_small_coder/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.patch,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/qwen_local_35b_9b/big_planner_small_coder/run_batch_exit_statuses.yaml
qwen_local_35b_9b,pvlib__pvlib-python,pvlib__pvlib-python-1072,big_planner_small_coder_big_reviewer,submitted (exit_format),4/10,5/5,4/5,0/5,9,5,47,1,13,4,False,True,370265,5482,375747,7994.6,46,3568757.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/qwen_local_35b_9b/big_planner_small_coder_big_reviewer/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/qwen_local_35b_9b/big_planner_small_coder_big_reviewer/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.patch,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/qwen_local_35b_9b/big_planner_small_coder_big_reviewer/run_batch_exit_statuses.yaml
qwen_local_35b_9b,pvlib__pvlib-python,pvlib__pvlib-python-1072,small_coder_only,submitted,9/10,5/5,5/5,4/5,8,1,5,2,1,0,True,False,11792,597,12389,2477.8,5,116874.0,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/qwen_local_35b_9b/small_coder_only/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.traj,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/qwen_local_35b_9b/small_coder_only/pvlib__pvlib-python-1072/pvlib__pvlib-python-1072.patch,,,,/Users/rafe/classes/eecs545/project/SWE-agent/matrix_easy_runs_two_new_20260310_093206/qwen_local_35b_9b/small_coder_only/run_batch_exit_statuses.yaml
