instance_id,case_set,A,A_strict,B,B_strict,C,C_strict,D,E,F,F_strict,G,G_strict,H,I,J,K,L,M,N,P
board_rollup_001,c1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
budget_snapshot_001,c1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
contact_card_001,c1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
digest_preview_001,c1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
incident_brief_001,c1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
invoice_footer_001,c1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0
label_formatter_001,c1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
median_window_001,c1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
milestone_rollup_001,c1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1
nested_app_001,c1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0
owner_recap_001,c1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1
owner_sort_001,c1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
priority_snapshot_001,c1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1
renewal_preview_001,c1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1
risk_score_001,c1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
shipment_preview_001,c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
simple_mean_bug_001,c1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
status_slug_001,c1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
team_digest_001,c1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
workspace_digest_001,c1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
assignee_board_001,c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
campaign_header_001,c2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
comment_highlight_001,c2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
dispatch_preview_001,c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fee_rounding_001,c2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
headline_api_001,c2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
incident_brief_c2_001,c2,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
invoice_summary_001,c2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
label_join_001,c2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
partner_brief_001,c2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
profile_preview_001,c2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
queue_digest_001,c2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ratio_guard_001,c2,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0
renewal_banner_001,c2,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0
retry_slot_001,c2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
shipment_digest_001,c2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
sprint_rollup_001,c2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
tag_visibility_001,c2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
timeline_caption_001,c2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_center_001,c2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alert_subject_001,c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
backlog_health_medium_c3_001,c3,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1
c3_banner_trim_001,c3,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1
c3_clamp_floor_001,c3,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1
c3_csv_count_001,c3,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1
c3_eta_label_001,c3,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1
c3_initials_join_001,c3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
c3_slug_tail_001,c3,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1
c3_title_case_001,c3,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
escalation_caption_001,c3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
invoice_alerts_medium_c3_001,c3,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1
ledger_preview_001,c3,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
oncall_brief_medium_c3_001,c3,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1
quota_snapshot_medium_c3_001,c3,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1
release_notes_medium_c3_001,c3,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1
roster_signature_001,c3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
