run_id,variant,case_set,instance_id,solved,steps_used,steps_allowed,fraction_steps_used,total_tokens,cost_bpt,cost_usd,duration_s,stopped_reason
A_c1_9b_mcts,A,c1,board_rollup_001,1,4,18,0.2222,13289,119601.0,0.0013617000000000002,100.83,auto_finalized
A_c1_9b_mcts,A,c1,budget_snapshot_001,0,18,18,1.0000,91855,826695.0,0.0092712,323.43,reviewer_rejected
A_c1_9b_mcts,A,c1,contact_card_001,0,18,18,1.0000,114268,1028412.0,0.011550700000000002,314.63,reviewer_rejected
A_c1_9b_mcts,A,c1,digest_preview_001,0,18,18,1.0000,135020,1215180.0,0.013632050000000001,431.28,reviewer_rejected
A_c1_9b_mcts,A,c1,incident_brief_001,1,6,18,0.3333,21513,193617.0,0.00220965,113.02,auto_finalized
A_c1_9b_mcts,A,c1,invoice_footer_001,1,9,18,0.5000,76519,688671.0,0.0077501,518.07,auto_finalized
A_c1_9b_mcts,A,c1,label_formatter_001,1,7,18,0.3889,38132,343188.0,0.00390545,163.62,auto_finalized
A_c1_9b_mcts,A,c1,median_window_001,1,3,18,0.1667,11481,103329.0,0.0011723,95.29,auto_finalized
A_c1_9b_mcts,A,c1,milestone_rollup_001,0,4,18,0.2222,14427,129843.0,0.0014741,115.35,reviewer_rejected
A_c1_9b_mcts,A,c1,nested_app_001,1,8,18,0.4444,46397,417573.0,0.00474255,187.49,auto_finalized
A_c1_9b_mcts,A,c1,owner_recap_001,1,9,18,0.5000,47012,423108.0,0.0047814500000000005,158.63,auto_finalized
A_c1_9b_mcts,A,c1,owner_sort_001,1,3,18,0.1667,11833,106497.0,0.0012096000000000001,74.4,auto_finalized
A_c1_9b_mcts,A,c1,priority_snapshot_001,1,5,18,0.2778,17776,159984.0,0.0018063500000000002,106.28,auto_finalized
A_c1_9b_mcts,A,c1,renewal_preview_001,1,11,18,0.6111,48328,434952.0,0.004905499999999999,236.92,auto_finalized
A_c1_9b_mcts,A,c1,risk_score_001,1,3,18,0.1667,9610,86490.0,0.00097715,56.73,auto_finalized
A_c1_9b_mcts,A,c1,shipment_preview_001,0,11,18,0.6111,77913,701217.0,0.00784955,261.64,reviewer_rejected
