run_id,variant,case_set,instance_id,solved,planner_tokens_in,planner_tokens_out,planner_model,planner_params_b,planner_bpt,coder_tokens_in,coder_tokens_out,coder_model,coder_params_b,coder_bpt,reviewer_tokens_in,reviewer_tokens_out,reviewer_model,reviewer_params_b,reviewer_bpt,value_tokens_in,value_tokens_out,value_bpt,total_tokens,cost_bpt,cost_usd,mcts_iterations,steps_used,duration_s
A_c1_9b_mcts,A,c1,board_rollup_001,1,694,198,ollama/qwen3.5:9b,9.0,8028.0,11939,458,ollama/qwen3.5:9b,9.0,111573.0,0,0,ollama/qwen3.5:9b,9.0,0.0,0,0,0.0,13289,119601.0,0.0013617000000000002,18,4,100.83
A_c1_9b_mcts,A,c1,budget_snapshot_001,0,738,190,ollama/qwen3.5:9b,9.0,8352.0,86951,1222,ollama/qwen3.5:9b,9.0,793557.0,2452,302,ollama/qwen3.5:9b,9.0,24786.0,0,0,0.0,91855,826695.0,0.0092712,18,18,323.43
A_c1_9b_mcts,A,c1,contact_card_001,0,643,197,ollama/qwen3.5:9b,9.0,7560.0,109399,2008,ollama/qwen3.5:9b,9.0,1002663.0,1748,273,ollama/qwen3.5:9b,9.0,18189.0,0,0,0.0,114268,1028412.0,0.011550700000000002,18,18,314.63
A_c1_9b_mcts,A,c1,digest_preview_001,0,797,346,ollama/qwen3.5:9b,9.0,10287.0,129267,2014,ollama/qwen3.5:9b,9.0,1181529.0,2355,241,ollama/qwen3.5:9b,9.0,23364.0,0,0,0.0,135020,1215180.0,0.013632050000000001,18,18,431.28
A_c1_9b_mcts,A,c1,incident_brief_001,1,769,237,ollama/qwen3.5:9b,9.0,9054.0,19577,930,ollama/qwen3.5:9b,9.0,184563.0,0,0,ollama/qwen3.5:9b,9.0,0.0,0,0,0.0,21513,193617.0,0.00220965,18,6,113.02
A_c1_9b_mcts,A,c1,invoice_footer_001,1,626,227,ollama/qwen3.5:9b,9.0,7677.0,72791,1581,ollama/qwen3.5:9b,9.0,669348.0,1138,156,ollama/qwen3.5:9b,9.0,11646.0,0,0,0.0,76519,688671.0,0.0077501,18,9,518.07
A_c1_9b_mcts,A,c1,label_formatter_001,1,597,156,ollama/qwen3.5:9b,9.0,6777.0,35690,1689,ollama/qwen3.5:9b,9.0,336411.0,0,0,ollama/qwen3.5:9b,9.0,0.0,0,0,0.0,38132,343188.0,0.00390545,18,7,163.62
A_c1_9b_mcts,A,c1,median_window_001,1,575,160,ollama/qwen3.5:9b,9.0,6615.0,10422,324,ollama/qwen3.5:9b,9.0,96714.0,0,0,ollama/qwen3.5:9b,9.0,0.0,0,0,0.0,11481,103329.0,0.0011723,18,3,95.29
A_c1_9b_mcts,A,c1,milestone_rollup_001,0,618,159,ollama/qwen3.5:9b,9.0,6993.0,12242,283,ollama/qwen3.5:9b,9.0,112725.0,939,186,ollama/qwen3.5:9b,9.0,10125.0,0,0,0.0,14427,129843.0,0.0014741,18,4,115.35
A_c1_9b_mcts,A,c1,nested_app_001,1,705,202,ollama/qwen3.5:9b,9.0,8163.0,43635,1855,ollama/qwen3.5:9b,9.0,409410.0,0,0,ollama/qwen3.5:9b,9.0,0.0,0,0,0.0,46397,417573.0,0.00474255,18,8,187.49
