variant,avg_solve_rate_c1_c2,avg_compute_c1_c2,avg_compute_per_solve_c1_c2,n_sets,source_runs,pareto_optimal
A,67.5,0.003433344999999999,0.005012329583333332,2,"A_c1_9b_mcts,A_c2_9b_mcts",False
B,70.0,0.0019429257500000001,0.0029037630208333335,2,"B_c1_rafe_linear,B_c2_rafe_linear",True
C,77.5,0.003985418000000001,0.005243759075630253,2,"C_c1_mixed_mcts,C_c2_mixed_mcts",False
D,70.0,0.003978566000000001,0.005683665714285716,2,"D_c1_mixed_value,D_c2_mixed_value",False
E,72.5,0.00335212975,0.004769913799019608,2,"E_c1_mixed_hindsight,E_c2_mixed_hindsight",False
F,65.0,0.004139858750000001,0.0064075717261904775,2,"F_c1_9b_120b_planner,F_c2_9b_120b_planner",False
G,77.5,0.0029849525000000005,0.0038533004166666674,2,"G_c1_9b_hindsight,G_c2_9b_hindsight",True
H,70.0,0.003921763750000001,0.0056025196428571445,2,"H_c1_9b_selfeval,H_c2_9b_selfeval",False
I,72.5,0.0038363775,0.005249388095238095,2,"I_c1_sweSearch_9b,I_c2_sweSearch_9b",False
J,67.5,0.004247709,0.006362203,2,"J_c1_30b_sweSearch,J_c2_30b_sweSearch",False
K,55.00000000000001,0.0027080162500000005,0.00492366590909091,2,"K_c1_minimal_sweSearch,K_c2_minimal_sweSearch",False
