run_id,solved,total,solve_rate,avg_compute,compute_per_solve,avg_cost_bpt,bpt_per_solve,avg_tokens_in,avg_tokens_out,avg_planner_tokens,avg_coder_tokens,avg_reviewer_tokens,avg_value_tokens,avg_tree_nodes,avg_best_depth,avg_duration_s,coder_model,planner_model
A_c1_9b_mcts,15,20,0.75,0.004259472499999998,0.005679296666666664,377954.1,503938.8,40795.25,1199.65,878.6,40440.15,676.15,0.0,9.1,7.65,178.49750000000003,ollama/qwen3.5:9b,ollama/qwen3.5:9b
A_c2_9b_mcts,12,20,0.6,0.0026072175,0.0043453625,231365.25,385608.75,24977.4,729.85,0.0,25707.25,0.0,0.0,9.0,7.6,96.97600000000001,ollama/qwen3.5:9b,
A_c3_9b_mcts,14,20,0.7,0.0033193650000000003,0.004741950000000001,293908.5,419869.28571428574,31582.2,1074.3,762.45,31231.75,662.3,0.0,7.2,5.55,158.20850000000002,ollama/qwen3.5:9b,ollama/qwen3.5:9b
A_strict_c1_9b_mcts,12,20,0.6,0.0043528975,0.007254829166666667,385345.8,642243.0,41390.65,1425.55,840.95,41229.25,746.0,0.0,8.9,7.45,174.609,ollama/qwen3.5:9b,ollama/qwen3.5:9b
A_strict_c2_9b_mcts,13,20,0.65,0.0027935900000000003,0.004297830769230769,247607.1,380934.0,26663.9,848.0,763.15,26095.35,653.4,0.0,8.15,7.2,156.7255,ollama/qwen3.5:9b,ollama/qwen3.5:9b
A_strict_c3_9b_mcts,14,20,0.7,0.003977187500000001,0.00568169642857143,352181.25,503116.0714285715,37850.0,1281.25,802.55,37502.25,826.45,0.0,9.0,7.7,189.3325,ollama/qwen3.5:9b,ollama/qwen3.5:9b
B_c1_rafe_linear,18,20,0.9,0.00064674,0.0007186,232362.0,258180.0,1144.6,791.75,1936.35,0.0,0.0,0.0,0.0,0.0,224.54649999999998,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
B_c2_rafe_linear,12,20,0.6,0.0022805080000000005,0.0038008466666666677,831004.5,1385007.5,20762.35,1063.2,1114.6,19867.35,843.6,0.0,8.3,7.4,92.14349999999999,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
B_c3_rafe_linear,16,20,0.8,0.0020698970000000002,0.00258737125,741816.0,927270.0,18135.55,1111.55,1149.4,17420.4,677.3,0.0,8.2,7.2,93.297,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
B_strict_c1_rafe_linear,16,20,0.8,0.0022698415000000005,0.0028373018750000004,819264.0,1024080.0,19962.3,1155.25,1446.75,19053.8,617.0,0.0,8.2,7.2,106.69500000000001,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
B_strict_c2_rafe_linear,16,20,0.8,0.0019992395,0.002499049375,721155.0,901443.75,16939.45,1085.85,1290.7,16020.9,713.7,0.0,7.55,6.55,105.28750000000002,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
B_strict_c3_rafe_linear,15,20,0.75,0.0023750150000000003,0.003166686666666667,869043.0,1158724.0,22125.2,1080.95,1100.1,21285.5,820.55,0.0,9.05,8.05,129.2305,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
C_c1_mixed_mcts,17,20,0.85,0.0035675820000000006,0.004197155294117648,1266912.0,1490484.705882353,34020.3,1719.6,1547.5,33576.4,616.0,0.0,7.55,5.2,128.613,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
C_c2_mixed_mcts,14,20,0.7,0.0044032540000000005,0.006290362857142858,1563429.0,2233470.0,43185.15,1951.15,1492.3,42810.3,833.7,0.0,9.5,6.7,149.327,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
C_c3_mixed_mcts,15,20,0.75,0.0039807005,0.005307600666666666,1403200.5,1870934.0,39030.85,1921.75,1182.8,39012.35,757.45,0.0,9.75,6.5,130.09150000000002,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
C_strict_c1_mixed_mcts,17,20,0.85,0.0023029265,0.002709325294117647,814159.5,957834.705882353,20733.2,1246.5,1312.9,20260.05,406.75,0.0,6.05,4.25,127.61550000000004,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b
