variant,avg_solve_rate_c1_c2,avg_compute_c1_c2,avg_compute_per_solve_c1_c2,n_sets,source_runs,pareto_optimal
A,67.5,0.003433345,0.005012329583333333,2,"A_c1_9b_mcts,A_c2_9b_mcts",False
B,75.0,0.0014636239999999997,0.002259723333333333,2,"B_c1_rafe_linear,B_c2_rafe_linear",True
C,77.5,0.003985418,0.005243759075630253,2,"C_c1_mixed_mcts,C_c2_mixed_mcts",False
D,70.0,0.003978566,0.005683665714285715,2,"D_c1_mixed_value,D_c2_mixed_value",False
E,72.5,0.00335212975,0.004769913799019608,2,"E_c1_mixed_hindsight,E_c2_mixed_hindsight",False
F,65.0,0.00413985875,0.006407571726190477,2,"F_c1_9b_120b_planner,F_c2_9b_120b_planner",False
G,77.5,0.0029849525,0.003853300416666667,2,"G_c1_9b_hindsight,G_c2_9b_hindsight",True
H,70.0,0.0039217637500000005,0.0056025196428571445,2,"H_c1_9b_selfeval,H_c2_9b_selfeval",False
I,72.5,0.0038363775000000004,0.005249388095238096,2,"I_c1_sweSearch_9b,I_c2_sweSearch_9b",False
J,67.5,0.0042477090000000006,0.006362203,2,"J_c1_30b_sweSearch,J_c2_30b_sweSearch",False
K,55.00000000000001,0.00270801625,0.004923665909090909,2,"K_c1_minimal_sweSearch,K_c2_minimal_sweSearch",False
