instance_id,status,submitted,stopped_reason,turns,time_s,tok_in,tok_out,loops,vote_edits,vote_samples,patch_lines,checks_satisfied,coder_rounds,reviewer_decision_r1,reviewer_decision_r2,planner_tok_in,coder_tok_in,reviewer_tok_in
board_rollup_001,SUBMIT,True,auto_finalized,4,100.8,12633,656,0,1,2,2,1,1,accept,,694,11939,0
budget_snapshot_001,reviewer_rej,False,reviewer_rejected,18,323.4,90141,1714,0,2,4,0,1,2,revise,revise,738,86951,2452
contact_card_001,reviewer_rej,False,reviewer_rejected,18,314.6,111790,2478,0,6,15,0,0,2,revise,revise,643,109399,1748
digest_preview_001,reviewer_rej,False,reviewer_rejected,18,431.3,132419,2601,0,2,9,2,0,2,revise,revise,797,129267,2355
incident_brief_001,SUBMIT,True,auto_finalized,6,113.0,20346,1167,0,1,2,2,1,1,accept,,769,19577,0
invoice_footer_001,SUBMIT,True,auto_finalized,9,518.1,74555,1964,0,3,8,9,1,2,revise,accept,626,72791,1138
label_formatter_001,SUBMIT,True,auto_finalized,7,163.6,36287,1845,0,2,7,5,1,1,accept,,597,35690,0
median_window_001,SUBMIT,True,auto_finalized,3,95.3,10997,484,0,1,2,2,1,1,accept,,575,10422,0
milestone_rollup_001,reviewer_rej,False,reviewer_rejected,4,115.3,13799,628,0,0,0,0,0,2,revise,revise,618,12242,939
nested_app_001,SUBMIT,True,auto_finalized,8,187.5,44340,2057,0,2,7,19,1,1,accept,,705,43635,0
owner_recap_001,SUBMIT,True,auto_finalized,9,158.6,45407,1605,0,2,7,4,3,1,accept,,818,44589,0
owner_sort_001,SUBMIT,True,auto_finalized,3,74.4,11307,526,0,1,2,2,1,1,accept,,586,10721,0
priority_snapshot_001,SUBMIT,True,auto_finalized,5,106.3,17201,575,0,1,2,2,1,2,revise,accept,652,16124,425
renewal_preview_001,SUBMIT,True,auto_finalized,11,236.9,46874,1454,0,2,4,4,3,2,revise,accept,689,44992,1193
risk_score_001,SUBMIT,True,auto_finalized,3,56.7,9287,323,0,1,2,2,1,1,accept,,583,8704,0
shipment_preview_001,reviewer_rej,False,reviewer_rejected,11,261.6,76748,1165,0,1,2,0,2,2,revise,revise,755,74372,1621
simple_mean_bug_001,SUBMIT,True,auto_finalized,3,59.1,9369,329,0,1,2,2,1,1,accept,,616,8753,0
status_slug_001,SUBMIT,True,auto_finalized,3,61.8,8594,419,0,1,2,2,1,1,accept,,579,8015,0
team_digest_001,SUBMIT,True,auto_finalized,4,105.3,20727,1197,0,1,5,2,1,1,accept,,614,20113,0
workspace_digest_001,SUBMIT,True,auto_finalized,6,86.2,23084,806,0,1,2,2,1,1,accept,,837,22247,0
